,glutamatergic,gabergic,dopaminergic,astrocyte_proto,astrocyte_fibro,oligos,OPCs,choroid,microglia,t_cells,b_cells
AQP4,False,False,False,True,True,False,False,False,False,False,False
CD8A,False,False,False,False,False,False,False,False,False,True,False
CD8B,False,False,False,False,False,False,False,False,False,True,False
CLDN11,False,False,False,False,False,True,False,False,False,False,False
CNP,False,False,False,False,False,True,False,False,False,False,False
FOLR1,False,False,False,False,False,False,False,True,False,False,False
GAD2,False,True,False,False,False,False,False,False,False,False,False
GFAP,False,False,False,False,True,False,False,False,False,False,False
GJA1,False,False,False,True,False,False,False,False,False,False,False
GRIN2A,True,True,True,False,False,False,False,False,False,False,False
IGHG1,False,False,False,False,False,False,False,False,False,False,True
KRT18,False,False,False,False,False,False,False,True,False,False,False
LHFPL3,False,False,False,False,False,False,True,False,False,False,False
NEUROD6,True,False,False,False,False,False,False,False,False,False,False
P2RY12,False,False,False,False,False,False,False,False,True,False,False
PDGFRA,False,False,False,False,False,False,True,False,False,False,False
PLP1,False,False,False,False,False,True,False,False,False,False,False
PTPRC,False,False,False,False,False,False,False,False,True,True,True
RBFOX3,True,True,True,False,False,False,False,False,False,False,False
SATB2,True,False,False,False,False,False,False,False,False,False,False
SKAP1,False,False,False,False,False,False,False,False,False,True,True
SLC17A6,True,False,False,False,False,False,False,False,False,False,False
SLC18A2,False,False,True,False,False,False,False,False,False,False,False
SLC32A1,False,True,False,False,False,False,False,False,False,False,False
SLC6A3,False,False,True,False,False,False,False,False,False,False,False
ST18,False,False,False,False,False,True,False,False,False,False,False
TTR,False,False,False,False,False,False,False,True,False,False,False
